"Carimbo de data/hora","Edad:","Género:","1- ¿Existen momentos en los que es aceptable encubrir o evitar revelar un error, si este error no causa daño al paciente?","2- ¿Existen momentos en los que es aceptable encubrir o evitar revelar un error, si este error potencialmente o probablemente perjudicaría al paciente?","3- ¿Debería permitirse la asistencia médica al suicidio asistido (eutanasia) en algunas situaciones?","4- ¿Es aceptable exagerar o falsificar la condición de un paciente al presentar reclamaciones de beneficios empresariales o de convenio médico?","5- ¿Es aceptable romper la confidencialidad del paciente si sabes que el estado de salud de un paciente podría estar perjudicando a otras personas?","6- ¿Podrías involucrarte en una relación romántica o sexual con un paciente?","7- ¿Debería ser legal que las personas compren órganos para trasplantes si no pudieran recibir un órgano esperando su turno a través de la base de datos nacional?","8- ¿Cuál es tu perspectiva sobre la aceptabilidad de la práctica del aborto?","9- ¿Cuál es tu opinión sobre la ética y la legalidad de la práctica de la gestación subrogada en la medicina?","10- En la situación en la que una mujer remunerada para ser gestante desarrolla afecto por el futuro hijo, ¿cuál es tu perspectiva sobre la aceptabilidad de que continúe con la gestación y decida criar al niño para sí misma?","11- ¿Cuál es tu visión sobre la manipulación genética en embriones para el mejoramiento de características físicas o intelectuales?","12- Desde tu perspectiva, ¿es aceptable la presencia de ginecólogos del sexo masculino en la práctica ginecológica en todos los contextos médicos, considerando las cuestiones de privacidad y comodidad de las pacientes?","13- En casos de enfermedades terminales, ¿es ético permitir que los pacientes accedan a tratamientos experimentales, incluso sin evidencia robusta de eficacia en caso del paciente estar de acuerdo?","14- ¿Debería considerarse aceptable la prescripción de medicamentos con alto potencial de dependencia, como los opioides para el alivio del dolor, para los pacientes suceptibles a la dependencia?","15- ¿Es justificable el uso de derivados de la Cannabis en la medicina, considerando sus potenciales beneficios terapéuticos en contraste con los riesgos asociados a su consumo?","Comentarios y opiniones que quieras hacer acerca de algun tema abordado en la encuesta:"
"2023/11/17 10:47:36 AM GMT-3","Entre 18 hasta 23 años.","Masculino.","Estoy parcialmente de acuerdo.","Estoy parcialmente en desacuerdo.","Estoy de acuerdo.","No estoy de acuerdo.","Estoy de acuerdo.","No estoy de acuerdo.","Estoy parcialmente de acuerdo.","Estoy parcialmente de acuerdo.","Estoy de acuerdo.","No estoy de acuerdo ni en desacuerdo.","Estoy parcialmente de acuerdo.","No estoy de acuerdo ni en desacuerdo.","Estoy parcialmente de acuerdo.","Estoy parcialmente en desacuerdo.","Estoy de acuerdo.","Muy interesante el tema"
"2023/11/17 10:48:50 AM GMT-3","Entre 18 hasta 23 años.","Feminino.","Estoy parcialmente de acuerdo.","No estoy de acuerdo.","Estoy parcialmente de acuerdo.","No estoy de acuerdo.","Estoy parcialmente de acuerdo.","Estoy de acuerdo.","No estoy de acuerdo.","Estoy de acuerdo.","Estoy parcialmente de acuerdo.","No estoy de acuerdo.","Estoy parcialmente de acuerdo.","Estoy de acuerdo.","No estoy de acuerdo ni en desacuerdo.","Estoy parcialmente en desacuerdo.","Estoy de acuerdo.",""
"2023/11/17 10:49:10 AM GMT-3","Entre 24 hasta 29 años.","Feminino.","Estoy de acuerdo.","No estoy de acuerdo.","Estoy de acuerdo.","No estoy de acuerdo.","No estoy de acuerdo.","No estoy de acuerdo.","No estoy de acuerdo.","Estoy de acuerdo.","Estoy de acuerdo.","No estoy de acuerdo.","No estoy de acuerdo.","Estoy de acuerdo.","Estoy de acuerdo.","No estoy de acuerdo.","Estoy de acuerdo.",""
"2023/11/17 10:57:24 AM GMT-3","Entre 18 hasta 23 años.","Feminino.","No estoy de acuerdo ni en desacuerdo.","No estoy de acuerdo.","No estoy de acuerdo ni en desacuerdo.","Estoy parcialmente en desacuerdo.","Estoy parcialmente de acuerdo.","No estoy de acuerdo.","No estoy de acuerdo.","No estoy de acuerdo ni en desacuerdo.","No estoy de acuerdo ni en desacuerdo.","Estoy de acuerdo.","Estoy de acuerdo.","No estoy de acuerdo ni en desacuerdo.","No estoy de acuerdo ni en desacuerdo.","Estoy parcialmente en desacuerdo.","Estoy parcialmente en desacuerdo.",""
"2023/11/17 10:57:38 AM GMT-3","Entre 18 hasta 23 años.","Feminino.","No estoy de acuerdo ni en desacuerdo.","Estoy parcialmente en desacuerdo.","No estoy de acuerdo.","Estoy parcialmente en desacuerdo.","No estoy de acuerdo ni en desacuerdo.","No estoy de acuerdo ni en desacuerdo.","No estoy de acuerdo ni en desacuerdo.","No estoy de acuerdo.","No estoy de acuerdo.","No estoy de acuerdo.","Estoy parcialmente en desacuerdo.","No estoy de acuerdo ni en desacuerdo.","Estoy parcialmente de acuerdo.","Estoy parcialmente de acuerdo.","Estoy parcialmente de acuerdo.",""
"2023/11/17 11:05:59 AM GMT-3","Entre 18 hasta 23 años.","Feminino.","No estoy de acuerdo ni en desacuerdo.","No estoy de acuerdo.","Estoy de acuerdo.","No estoy de acuerdo.","Estoy parcialmente de acuerdo.","No estoy de acuerdo.","No estoy de acuerdo ni en desacuerdo.","Estoy parcialmente de acuerdo.","No estoy de acuerdo ni en desacuerdo.","No estoy de acuerdo ni en desacuerdo.","Estoy de acuerdo.","Estoy de acuerdo.","Estoy parcialmente de acuerdo.","No estoy de acuerdo ni en desacuerdo.","Estoy parcialmente de acuerdo.",""
"2023/11/17 11:16:30 AM GMT-3","Entre 18 hasta 23 años.","Masculino.","No estoy de acuerdo ni en desacuerdo.","No estoy de acuerdo.","No estoy de acuerdo ni en desacuerdo.","No estoy de acuerdo ni en desacuerdo.","No estoy de acuerdo ni en desacuerdo.","No estoy de acuerdo.","No estoy de acuerdo.","No estoy de acuerdo ni en desacuerdo.","No estoy de acuerdo ni en desacuerdo.","Estoy de acuerdo.","No estoy de acuerdo ni en desacuerdo.","No estoy de acuerdo ni en desacuerdo.","No estoy de acuerdo ni en desacuerdo.","No estoy de acuerdo ni en desacuerdo.","No estoy de acuerdo ni en desacuerdo.",""
"2023/11/17 11:18:09 AM GMT-3","Entre 18 hasta 23 años.","Feminino.","No estoy de acuerdo ni en desacuerdo.","No estoy de acuerdo ni en desacuerdo.","Estoy de acuerdo.","No estoy de acuerdo.","No estoy de acuerdo.","No estoy de acuerdo ni en desacuerdo.","Estoy de acuerdo.","Estoy parcialmente en desacuerdo.","No estoy de acuerdo ni en desacuerdo.","No estoy de acuerdo ni en desacuerdo.","Estoy parcialmente en desacuerdo.","Estoy de acuerdo.","Estoy de acuerdo.","Estoy de acuerdo.","Estoy de acuerdo.",""
"2023/11/17 11:19:26 AM GMT-3","Entre 18 hasta 23 años.","Feminino.","No estoy de acuerdo.","No estoy de acuerdo.","Estoy de acuerdo.","No estoy de acuerdo.","No estoy de acuerdo.","No estoy de acuerdo.","No estoy de acuerdo.","No estoy de acuerdo.","No estoy de acuerdo.","No estoy de acuerdo.","Estoy parcialmente en desacuerdo.","No estoy de acuerdo.","No estoy de acuerdo.","No estoy de acuerdo.","No estoy de acuerdo.","Ningno"
"2023/11/17 11:27:13 AM GMT-3","Entre 18 hasta 23 años.","Feminino.","Estoy de acuerdo.","Estoy de acuerdo.","No estoy de acuerdo.","No estoy de acuerdo.","Estoy de acuerdo.","Estoy de acuerdo si la persona ya no es mi paciente hace más de 6 meses.","No estoy de acuerdo.","No estoy de acuerdo.","Estoy de acuerdo.","No estoy de acuerdo ni en desacuerdo.","No estoy de acuerdo.","Estoy de acuerdo.","No estoy de acuerdo.","No estoy de acuerdo ni en desacuerdo.","Estoy de acuerdo.",""
"2023/11/17 11:44:10 AM GMT-3","Entre 18 hasta 23 años.","Feminino.","No estoy de acuerdo ni en desacuerdo.","No estoy de acuerdo.","Estoy parcialmente de acuerdo.","Estoy parcialmente en desacuerdo.","Estoy de acuerdo.","No estoy de acuerdo.","Estoy parcialmente de acuerdo.","Estoy de acuerdo.","Estoy parcialmente de acuerdo.","No estoy de acuerdo.","Estoy parcialmente de acuerdo.","Estoy parcialmente de acuerdo.","No estoy de acuerdo.","Estoy de acuerdo.","Estoy de acuerdo.",""
"2023/11/17 12:33:24 PM GMT-3","Entre 18 hasta 23 años.","Feminino.","No estoy de acuerdo ni en desacuerdo.","No estoy de acuerdo.","Estoy parcialmente de acuerdo.","No estoy de acuerdo.","Estoy parcialmente de acuerdo.","No estoy de acuerdo.","No estoy de acuerdo.","No estoy de acuerdo ni en desacuerdo.","Estoy parcialmente de acuerdo.","No estoy de acuerdo ni en desacuerdo.","No estoy de acuerdo ni en desacuerdo.","Estoy de acuerdo.","No estoy de acuerdo.","No estoy de acuerdo.","No estoy de acuerdo ni en desacuerdo.",""
"2023/11/17 1:13:27 PM GMT-3","Entre 18 hasta 23 años.","Feminino.","Estoy parcialmente de acuerdo.","Estoy parcialmente de acuerdo.","Estoy de acuerdo.","No estoy de acuerdo ni en desacuerdo.","No estoy de acuerdo ni en desacuerdo.","Estoy de acuerdo si la persona ya no es mi paciente hace más de 6 meses.","No estoy de acuerdo ni en desacuerdo.","Estoy de acuerdo.","No estoy de acuerdo ni en desacuerdo.","No estoy de acuerdo.","Estoy parcialmente de acuerdo.","Estoy parcialmente de acuerdo.","Estoy parcialmente de acuerdo.","No estoy de acuerdo.","Estoy parcialmente de acuerdo.",""
"2023/11/17 2:00:19 PM GMT-3","Entre 18 hasta 23 años.","Feminino.","Estoy parcialmente de acuerdo.","No estoy de acuerdo ni en desacuerdo.","Estoy de acuerdo.","No estoy de acuerdo.","No estoy de acuerdo.","Estoy de acuerdo si la persona ya no es mi paciente hace más de 6 meses.","No estoy de acuerdo.","Estoy de acuerdo.","Estoy de acuerdo.","No estoy de acuerdo ni en desacuerdo.","No estoy de acuerdo ni en desacuerdo.","Estoy parcialmente de acuerdo.","Estoy parcialmente de acuerdo.","Estoy parcialmente en desacuerdo.","Estoy parcialmente de acuerdo.",""
"2023/11/17 2:25:35 PM GMT-3","Entre 18 hasta 23 años.","Feminino.","No estoy de acuerdo ni en desacuerdo.","No estoy de acuerdo.","Estoy de acuerdo.","No estoy de acuerdo.","Estoy parcialmente de acuerdo.","No estoy de acuerdo.","No estoy de acuerdo.","Estoy de acuerdo.","Estoy de acuerdo.","No estoy de acuerdo.","Estoy de acuerdo.","Estoy de acuerdo.","No estoy de acuerdo ni en desacuerdo.","Estoy parcialmente de acuerdo.","No estoy de acuerdo.",""
"2023/11/17 4:12:53 PM GMT-3","Entre 18 hasta 23 años.","Feminino.","Estoy parcialmente de acuerdo.","No estoy de acuerdo.","Estoy de acuerdo.","No estoy de acuerdo.","Estoy parcialmente de acuerdo.","No estoy de acuerdo.","No estoy de acuerdo ni en desacuerdo.","Estoy de acuerdo.","No estoy de acuerdo ni en desacuerdo.","No estoy de acuerdo.","Estoy de acuerdo.","Estoy de acuerdo.","Estoy de acuerdo.","No estoy de acuerdo.","Estoy de acuerdo.",""
"2023/11/17 5:06:37 PM GMT-3","Entre 18 hasta 23 años.","Masculino.","No estoy de acuerdo.","No estoy de acuerdo.","Estoy parcialmente de acuerdo.","Estoy parcialmente de acuerdo.","Estoy parcialmente de acuerdo.","No estoy de acuerdo.","No estoy de acuerdo ni en desacuerdo.","Estoy parcialmente de acuerdo.","No estoy de acuerdo ni en desacuerdo.","No estoy de acuerdo.","Estoy parcialmente en desacuerdo.","No estoy de acuerdo ni en desacuerdo.","Estoy parcialmente de acuerdo.","No estoy de acuerdo ni en desacuerdo.","No estoy de acuerdo ni en desacuerdo.",""
"2023/11/17 5:15:51 PM GMT-3","Entre 18 hasta 23 años.","Feminino.","Estoy parcialmente de acuerdo.","No estoy de acuerdo.","Estoy de acuerdo.","No estoy de acuerdo.","Estoy parcialmente en desacuerdo.","No estoy de acuerdo.","No estoy de acuerdo.","Estoy de acuerdo.","Estoy parcialmente en desacuerdo.","Estoy de acuerdo.","No estoy de acuerdo ni en desacuerdo.","Estoy parcialmente de acuerdo.","No estoy de acuerdo ni en desacuerdo.","No estoy de acuerdo.","Estoy de acuerdo.",""
"2023/11/17 5:23:23 PM GMT-3","Entre 18 hasta 23 años.","Feminino.","No estoy de acuerdo ni en desacuerdo.","Estoy parcialmente en desacuerdo.","Estoy parcialmente en desacuerdo.","Estoy parcialmente en desacuerdo.","Estoy parcialmente en desacuerdo.","Estoy de acuerdo si la persona ya no es mi paciente hace más de 6 meses.","Estoy parcialmente en desacuerdo.","Estoy parcialmente en desacuerdo.","Estoy parcialmente de acuerdo.","No estoy de acuerdo.","Estoy parcialmente de acuerdo.","Estoy parcialmente de acuerdo.","Estoy parcialmente en desacuerdo.","Estoy parcialmente en desacuerdo.","Estoy parcialmente de acuerdo.",""
"2023/11/17 5:48:38 PM GMT-3","Entre 18 hasta 23 años.","Masculino.","Estoy de acuerdo.","No estoy de acuerdo.","Estoy de acuerdo.","Estoy parcialmente en desacuerdo.","Estoy parcialmente de acuerdo.","No estoy de acuerdo.","Estoy parcialmente en desacuerdo.","Estoy de acuerdo.","Estoy de acuerdo.","No estoy de acuerdo.","Estoy de acuerdo.","Estoy de acuerdo.","Estoy de acuerdo.","No estoy de acuerdo ni en desacuerdo.","Estoy de acuerdo.","Si el paciente no cuenta con ninguna alternativa de vida, y no existen tratamientos  para su enfermedad, como médico de cabecera puede recomendar estudios clínicos; estos podrían salvar su vida y promover al avance científico, si no ayuda al caso, pues se vetaría. "
"2023/11/18 1:34:57 PM GMT-3","Entre 18 hasta 23 años.","Masculino.","No estoy de acuerdo ni en desacuerdo.","No estoy de acuerdo.","No estoy de acuerdo ni en desacuerdo.","No estoy de acuerdo.","Estoy parcialmente de acuerdo.","No estoy de acuerdo ni en desacuerdo.","Estoy de acuerdo.","No estoy de acuerdo ni en desacuerdo.","No estoy de acuerdo ni en desacuerdo.","No estoy de acuerdo ni en desacuerdo.","No estoy de acuerdo ni en desacuerdo.","No estoy de acuerdo ni en desacuerdo.","No estoy de acuerdo ni en desacuerdo.","No estoy de acuerdo ni en desacuerdo.","No estoy de acuerdo ni en desacuerdo.",""
"2023/11/18 9:59:45 PM GMT-3","Entre 24 hasta 29 años.","Masculino.","Estoy parcialmente de acuerdo.","Estoy parcialmente de acuerdo.","Estoy de acuerdo.","No estoy de acuerdo.","Estoy de acuerdo.","Estoy de acuerdo si la persona ya no es mi paciente hace más de 6 meses.","Estoy de acuerdo.","Estoy parcialmente en desacuerdo.","Estoy de acuerdo.","No estoy de acuerdo.","Estoy de acuerdo.","Estoy de acuerdo.","Estoy de acuerdo.","Estoy de acuerdo.","Estoy parcialmente de acuerdo.","En cuestión  de ginecólogos varones, es discriminativa la pregunta.."
"2023/11/20 1:29:06 PM GMT-3","Entre 18 hasta 23 años.","Masculino.","No estoy de acuerdo ni en desacuerdo.","Estoy parcialmente de acuerdo.","Estoy parcialmente de acuerdo.","Estoy parcialmente de acuerdo.","Estoy de acuerdo.","Estoy de acuerdo si la persona ya no es mi paciente hace más de 6 meses.","Estoy de acuerdo.","No estoy de acuerdo ni en desacuerdo.","No estoy de acuerdo ni en desacuerdo.","No estoy de acuerdo ni en desacuerdo.","Estoy de acuerdo.","Estoy de acuerdo.","Estoy de acuerdo.","No estoy de acuerdo ni en desacuerdo.","Estoy de acuerdo.",""
"2023/11/20 1:30:27 PM GMT-3","Entre 18 hasta 23 años.","Feminino.","Estoy parcialmente de acuerdo.","No estoy de acuerdo.","Estoy parcialmente de acuerdo.","No estoy de acuerdo.","No estoy de acuerdo.","No estoy de acuerdo.","Estoy parcialmente en desacuerdo.","No estoy de acuerdo.","Estoy parcialmente de acuerdo.","No estoy de acuerdo.","No estoy de acuerdo.","Estoy de acuerdo.","No estoy de acuerdo ni en desacuerdo.","No estoy de acuerdo ni en desacuerdo.","No estoy de acuerdo ni en desacuerdo.",""
"2023/11/20 1:32:11 PM GMT-3","Entre 18 hasta 23 años.","Feminino.","No estoy de acuerdo ni en desacuerdo.","No estoy de acuerdo.","Estoy de acuerdo.","No estoy de acuerdo.","Estoy de acuerdo.","No estoy de acuerdo.","Estoy de acuerdo.","Estoy de acuerdo.","Estoy parcialmente de acuerdo.","Estoy de acuerdo.","Estoy de acuerdo.","Estoy de acuerdo.","No estoy de acuerdo.","Estoy de acuerdo.","No estoy de acuerdo.",""
"2023/11/20 1:35:23 PM GMT-3","Entre 18 hasta 23 años.","Feminino.","No estoy de acuerdo ni en desacuerdo.","No estoy de acuerdo.","Estoy de acuerdo.","No estoy de acuerdo.","No estoy de acuerdo ni en desacuerdo.","No estoy de acuerdo.","Estoy de acuerdo.","Estoy de acuerdo.","No estoy de acuerdo ni en desacuerdo.","No estoy de acuerdo ni en desacuerdo.","Estoy de acuerdo.","Estoy de acuerdo.","No estoy de acuerdo ni en desacuerdo.","Estoy parcialmente de acuerdo.","No estoy de acuerdo ni en desacuerdo.",""
"2023/11/20 1:35:44 PM GMT-3","Entre 18 hasta 23 años.","Masculino.","Estoy parcialmente de acuerdo.","Estoy parcialmente en desacuerdo.","Estoy de acuerdo.","No estoy de acuerdo.","Estoy de acuerdo.","Estoy de acuerdo.","Estoy de acuerdo.","Estoy de acuerdo.","No estoy de acuerdo ni en desacuerdo.","Estoy de acuerdo.","Estoy parcialmente de acuerdo.","No estoy de acuerdo ni en desacuerdo.","No estoy de acuerdo ni en desacuerdo.","No estoy de acuerdo ni en desacuerdo.","Estoy parcialmente de acuerdo.",""
"2023/11/20 1:40:57 PM GMT-3","Entre 18 hasta 23 años.","Feminino.","Estoy parcialmente de acuerdo.","Estoy parcialmente en desacuerdo.","No estoy de acuerdo ni en desacuerdo.","No estoy de acuerdo.","Estoy parcialmente de acuerdo.","Estoy de acuerdo si la persona ya no es mi paciente hace más de 6 meses.","No estoy de acuerdo.","Estoy parcialmente de acuerdo.","Estoy parcialmente de acuerdo.","No estoy de acuerdo.","No estoy de acuerdo.","No estoy de acuerdo.","Estoy de acuerdo.","No estoy de acuerdo.","Estoy de acuerdo.",""
"2023/11/20 1:58:08 PM GMT-3","Entre 18 hasta 23 años.","Feminino.","Estoy de acuerdo.","No estoy de acuerdo.","Estoy de acuerdo.","Estoy de acuerdo.","Estoy de acuerdo.","No estoy de acuerdo.","No estoy de acuerdo.","No estoy de acuerdo ni en desacuerdo.","No estoy de acuerdo.","No estoy de acuerdo ni en desacuerdo.","No estoy de acuerdo ni en desacuerdo.","No estoy de acuerdo ni en desacuerdo.","No estoy de acuerdo ni en desacuerdo.","No estoy de acuerdo ni en desacuerdo.","No estoy de acuerdo ni en desacuerdo.",""
"2023/11/20 2:25:46 PM GMT-3","Entre 18 hasta 23 años.","Feminino.","Estoy parcialmente de acuerdo.","No estoy de acuerdo.","Estoy parcialmente de acuerdo.","No estoy de acuerdo.","Estoy de acuerdo.","Estoy de acuerdo si la persona ya no es mi paciente hace más de 6 meses.","No estoy de acuerdo.","Estoy de acuerdo.","No estoy de acuerdo ni en desacuerdo.","No estoy de acuerdo ni en desacuerdo.","Estoy parcialmente de acuerdo.","Estoy de acuerdo.","Estoy de acuerdo.","No estoy de acuerdo.","Estoy parcialmente en desacuerdo.",""
"2023/11/20 3:08:35 PM GMT-3","Entre 18 hasta 23 años.","Feminino.","Estoy parcialmente en desacuerdo.","No estoy de acuerdo.","Estoy parcialmente de acuerdo.","No estoy de acuerdo.","Estoy de acuerdo.","Estoy de acuerdo si la persona ya no es mi paciente hace más de 6 meses.","No estoy de acuerdo ni en desacuerdo.","Estoy de acuerdo.","No estoy de acuerdo ni en desacuerdo.","No estoy de acuerdo.","No estoy de acuerdo.","Estoy de acuerdo.","Estoy de acuerdo.","No estoy de acuerdo.","Estoy de acuerdo.",""
